Date,Open,High,Low,Close,Volume,Adj Close
2017-01-17,1600.00,1641.80,1600.00,1627.00,187400,1619.20
2017-01-16,1681.00,1689.00,1615.00,1632.00,267200,1624.176
2017-01-13,1744.00,1744.00,1677.00,1686.00,219800,1677.917
2017-01-12,1725.00,1793.66,1642.00,1705.00,526700,1696.826
2017-01-11,1680.00,1740.00,1680.00,1718.00,164500,1709.764
2017-01-10,1665.00,1724.00,1665.00,1714.00,165100,1705.783
2017-01-09,1738.00,1742.60,1653.00,1700.00,257800,1691.85
2017-01-06,1673.00,1720.00,1673.00,1706.00,150600,1697.821
2017-01-05,1643.00,1702.00,1643.00,1691.00,153300,1682.893
2017-01-04,1605.00,1670.00,1588.76,1652.00,199100,1644.08
2017-01-03,1609.00,1656.00,1609.00,1617.00,125800,1609.248
2017-01-02,1648.00,1648.00,1648.00,1648.00,000,1640.099
2016-12-30,1608.00,1665.00,1608.00,1648.00,64000,1640.099
2016-12-29,1606.00,1649.00,1600.00,1625.00,114200,1617.21
2016-12-28,1575.00,1620.00,1553.30,1612.00,123900,1604.272
2016-12-27,1570.00,1570.00,1570.00,1570.00,000,1562.473
2016-12-26,1570.00,1570.00,1570.00,1570.00,000,1562.473
2016-12-23,1618.00,1621.00,1570.00,1570.00,62400,1562.473
2016-12-22,1575.00,1623.90,1575.00,1621.00,71700,1613.229
2016-12-21,1588.00,1611.00,1576.00,1581.00,105900,1573.42
2016-12-20,1614.00,1630.03,1580.86,1581.00,151500,1573.42
2016-12-19,1619.00,1621.90,1601.00,1608.00,65700,1600.291
2016-12-16,1594.00,1625.00,1594.00,1603.00,127100,1595.315
2016-12-15,1592.00,1620.00,1587.00,1604.00,147500,1596.31
2016-12-14,1593.00,1612.00,1591.00,1601.00,108300,1593.325
2016-12-13,1609.00,1620.70,1594.00,1613.00,88600,1605.267
2016-12-12,1606.00,1629.00,1596.00,1603.00,128100,1595.315
2016-12-09,1603.00,1612.40,1581.00,1604.00,143500,1596.31
2016-12-08,1614.00,1620.00,1594.00,1605.00,104800,1597.305
2016-12-07,1601.00,1611.40,1584.00,1602.00,176500,1594.32
2016-12-06,1579.00,1625.00,1575.00,1607.00,225800,1599.296
2016-12-05,1550.00,1583.00,1550.00,1564.00,139900,1556.502
2016-12-02,1557.00,1565.00,1550.00,1554.00,85100,1546.55
2016-12-01,1547.00,1588.00,1512.00,1569.00,152400,1561.478
2016-11-30,1551.00,1554.80,1531.00,1536.00,84800,1528.636
2016-11-29,1542.00,1558.65,1539.00,1546.00,65800,1538.588
2016-11-28,1553.00,1553.00,1522.00,1536.00,64300,1528.636
2016-11-25,1563.00,1563.00,1523.00,1542.00,42700,1534.607
2016-11-24,1554.00,1554.00,1523.00,1541.00,57800,1533.612
2016-11-23,1535.00,1552.00,1521.16,1527.00,497000,1519.679
2016-11-22,1556.00,1556.00,1516.00,1541.00,80000,1533.612
2016-11-21,1555.00,1568.30,1518.00,1526.00,95200,1518.684
2016-11-18,1547.00,1570.00,1542.00,1565.00,147300,1557.497
2016-11-17,1545.00,1555.00,1518.00,1549.00,138400,1541.574
2016-11-16,1530.00,1553.00,1520.00,1522.00,136500,1514.703
2016-11-15,1547.00,1578.60,1532.00,1532.00,164600,1524.655
2016-11-14,1523.00,1570.00,1521.00,1534.00,157500,1526.646
2016-11-11,1558.00,1614.22,1525.00,1530.00,219600,1522.665
2016-11-10,1487.00,1622.00,1487.00,1574.00,741800,1566.454
2016-11-09,1407.00,1472.94,1391.99,1447.00,285400,1440.063
2016-11-08,1430.00,1446.00,1416.78,1427.00,384400,1420.159
2016-11-07,1416.00,1445.00,1407.00,1436.00,337100,1429.116
2016-11-04,1400.00,1449.00,1382.00,1394.00,212400,1387.317
2016-11-03,1378.00,1449.00,1378.00,1407.00,147600,1400.255
2016-11-02,1386.00,1400.00,1379.00,1384.00,145800,1377.365
2016-11-01,1339.00,1424.41,1339.00,1400.00,237100,1393.288
2016-10-31,1347.00,1357.00,1335.00,1346.00,161600,1339.547
2016-10-28,1328.00,1356.00,1317.00,1355.00,273500,1348.504
2016-10-27,1343.00,1347.00,1309.00,1330.00,135100,1323.624
2016-10-26,1353.00,1353.00,1320.00,1342.00,139200,1335.566
2016-10-25,1365.00,1380.80,1343.00,1343.00,109900,1336.561
2016-10-24,1412.00,1413.00,1363.00,1363.00,177400,1356.466
2016-10-21,1430.00,1436.00,1411.00,1413.00,79900,1406.226
2016-10-20,1444.00,1444.00,1419.00,1433.00,105700,1426.13
2016-10-19,1450.00,1450.90,1403.00,1414.00,159000,1407.221
2016-10-18,1443.00,1454.78,1434.00,1443.00,131600,1436.082
2016-10-17,1471.00,1478.80,1424.00,1429.00,139000,1422.149
2016-10-14,1494.00,1505.00,1477.00,1491.00,109200,1483.852
2016-10-13,1479.00,1503.00,1470.00,1495.00,107400,1487.833
